ID,X(m),Y(m),NO3,Cl,HCO3,SO4,Ca,Mg,Na,K
PyrGWS1,231284.64,4329901.18,2.3,55,326.96,128,94.5134161,21.87,46.9,1.3
PyrGWS2,242025.19,4329802.76,7.2,28,162.26,76,89.70764918,13.608,24.8,1.7
PyrGWS3,242834.42,4327518.74,2.9,67,372.1,42,59.27112535,23.328,96,3.9
PyrGWS4,245747.37,4328166.37,18.9,51,442.86,42,134.5614738,21.87,20.9,2.5
PyrGWS5,245795.86,4329099.03,32.3,33,497.76,49,154.5855026,21.627,25.3,6.3
PyrGWS6,235367.96,4340484.02,7,24,119.56,24,97.71726071,11.907,14.4,1.3
PyrGWS7,232865.5,4335415.76,7.5,22,257.42,90,100.1201442,9.72,16.8,1.6
PyrGWS8,231142.11,4334274.12,19.1,20,200.08,98,99.31918302,20.898,16.4,1.4
PyrGWS9,232397.02,4337059.72,9,23,373.32,96,110.9331197,24.786,14.8,6.9
PyrGWS10,232013.35,436938.79,17,22,319.64,104,110.5326392,22.113,15,3.5
PyrGWS11,227565.05,4336942.02,3.5,98,165.92,120,84.50140168,23.328,51.2,1.4
PyrGWS12,230408.52,4335569.28,14.5,9,347.7,122,106.1273528,28.674,16.7,1.3
PyrGWS13,230654.07,4330524.47,4.8,63,281.82,20,100.9211053,23.814,55.4,11
PyrGWS14,230459.55,4331855.35,3.7,21,257.42,118,101.3215859,21.627,21.2,0.9
PyrGWS15,231286.25,4330862.95,3.6,11,312.32,126,101.3215859,21.384,19.8,0.9
PyrGWS16,231781.76,4330448.13,4.4,42,280.6,142,82.4989988,35.478,41.6,1.7
PyrGWS17,232179.03,4336938.79,0.8,23,252.54,138,81.29755707,24.543,19.8,2
PyrGWS18,232013.35,4330205.33,8.5,27,268.4,106,93.71245495,19.683,16.2,1
PyrGWS19,233468.27,4328913.78,5.1,20,234.24,124,89.70764918,21.384,17.7,1.2
PyrGWS20,235386.16,4329058.56,12.3,36,265.96,118,95.71485783,26.244,17.7,4.8
PyrGWS21,235215.07,4330780.56,3.3,16,261.08,118,138.165799,18.225,13.5,1.7
PyrGWS22,239225.13,4334199.36,9,20,234.24,102,98.11774129,29.16,14.5,2.6
PyrGWS23,236390.87,4333055.98,0,22,298.9,108,118.1417701,35.235,19.2,11.4
PyrGWS24,241536.74,4331401.26,9.3,32,195.2,134,98.11774129,40.095,17.5,4.6
PyrGWS25,240618.52,4329362.07,5.4,15,189.1,80,102.1225471,36.45,17,4.7
PyrGWS26,239396.45,4331647.91,9,24,203.74,104,108.1297557,14.58,14.6,1.7
PyrGWS27,239511.39,4327169.53,6.3,26,236.68,110,92.11053264,34.02,16.7,7.3
